Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_1:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_2:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_3:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_4:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE_5:Surface Outside Face Temperature [C](TimeStep),SURFACE_6:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep),WINDOW1:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Temperature [C](TimeStep),ZONE1UNITHEATAIROUTLETNODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/02  03:01:00,10.5966666666667,0.0,14.1391047797652,11.9253611856464,0.0,0.0,0.0,0.0,13.9906493692958,0.0,13.5872970655578,7.093193440541988E-03,13.5939781141029,0.0 
 01/02  03:02:00,10.5933333333333,0.0,14.1315332039391,11.9200153138216,0.0,0.0,0.0,0.0,13.9838170258995,0.0,13.5806537434087,7.084966026016952E-03,13.5872970655578,0.0 
 01/02  03:03:00,10.59,0.0,14.1239628903122,11.9146691739198,0.0,0.0,0.0,0.0,13.9769907275409,0.0,13.5740499602519,7.076748427678836E-03,13.5806537434087,0.0 
 01/02  03:04:00,10.5866666666667,0.0,14.1164107452201,11.9094122229782,0.0,0.0,0.0,0.0,13.9701703766738,0.0,13.5674834328863,7.068540987892643E-03,13.5740499602519,0.0 
 01/02  03:05:00,10.5833333333333,0.0,14.1088598636454,11.9041550157703,0.0,0.0,0.0,0.0,13.963356356805,0.0,13.5609508797969,7.060343307785873E-03,13.5674834328863,0.0 
 01/02  03:06:00,10.58,0.0,14.1013277611579,11.8989638308146,0.0,0.0,0.0,0.0,13.9565485591861,0.0,13.5544495904698,7.052154704877845E-03,13.5609508797969,0.0 
 01/02  03:07:00,10.5766666666667,0.0,14.0937967449405,11.8937723983209,0.0,0.0,0.0,0.0,13.9497473418117,0.0,13.5479771750561,7.043974691260098E-03,13.5544495904698,0.0 
 01/02  03:08:00,10.5733333333333,0.0,14.0862847914655,11.8886346123232,0.0,0.0,0.0,0.0,13.9429525561444,0.0,13.5415317760974,7.035802760691553E-03,13.5479771750561,0.0 
 01/02  03:09:00,10.57,0.0,14.078773798035,11.8834965858703,0.0,0.0,0.0,0.0,13.9361645405593,0.0,13.5351115540649,7.027638594402763E-03,13.5415317760974,0.0 
 01/02  03:10:00,10.5666666666667,0.0,14.0712819642917,11.8784042588646,0.0,0.0,0.0,0.0,13.9293831173168,0.0,13.5287150064804,7.019481794779361E-03,13.5351115540649,0.0 
 01/02  03:11:00,10.5633333333333,0.0,14.063790992597,11.8733116974303,0.0,0.0,0.0,0.0,13.9226086084591,0.0,13.5223405637425,7.011332112633856E-03,13.5287150064804,0.0 
 01/02  03:12:00,10.56,0.0,14.0563191752052,11.8682592243617,0.0,0.0,0.0,0.0,13.9158408152536,0.0,13.5159869638737,7.003189202966591E-03,13.5223405637425,0.0 
