Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  15:08:00,15.3466666666667,11.9413135101049,13.661824969023,12.1048707985751 
 01/01  15:09:00,15.34,11.9460687186155,13.6641616843433,12.1092077578799 
 01/01  15:10:00,15.3333333333333,11.9508411199301,13.6663138136676,12.1135365065961 
 01/01  15:11:00,15.3266666666667,11.9555875784636,13.668465942992,12.1178492827968 
 01/01  15:12:00,15.32,11.9603512491514,13.6704541599503,12.1221433927565 
 01/01  15:13:00,15.3133333333333,11.9651294272241,13.6724423769086,12.1264341595405 
 01/01  15:14:00,15.3066666666667,11.9698905772254,13.6742825002987,12.1307138178248 
 01/01  15:15:00,15.3,11.974661924246,13.6761226236887,12.1349791225375 
 01/01  15:16:00,15.2933333333333,11.9794485878832,13.6778272620895,12.1392447556309 
 01/01  15:17:00,15.2866666666667,11.9842095995982,13.6795319004904,12.1435020623441 
 01/01  15:18:00,15.28,11.9889862104458,13.6811114090339,12.1477474657111 
 01/01  15:19:00,15.2733333333333,11.993777536786,13.6826909175774,12.1519954342219 
 01/01  15:20:00,15.2666666666667,11.9985503431992,13.6841539972366,12.156237514297 
 01/01  15:21:00,15.26,12.0033335323019,13.6856170768957,12.1604698776605 
 01/01  15:22:00,15.2533333333333,12.0081306123406,13.6869711715448,12.1647065681569 
 01/01  15:23:00,15.2466666666667,12.0129021614417,13.6883252661939,12.1689384823013 
 01/01  15:24:00,15.24,12.0176879215538,13.6895768375503,12.1731615904535 
 01/01  15:25:00,15.2333333333333,12.0224884982826,13.6908284089066,12.1773899508931 
 01/01  15:26:00,15.2266666666667,12.0272691301268,13.6919831337974,12.1816147498074 
 01/01  15:27:00,15.22,12.0320602312609,13.6931378586883,12.1858318724595 
 01/01  15:28:00,15.2133333333333,12.0368637699348,13.6942007747784,12.1900550325454 
 01/01  15:29:00,15.2066666666667,12.04164182129,13.6952636908683,12.1942749045084 
 01/01  15:30:00,15.2,12.0464325795525,13.6962393069738,12.1984872114632 
 01/01  15:31:00,15.1933333333333,12.0512381940494,13.6972149230794,12.2027058131192 
 01/01  15:32:00,15.1866666666667,12.0560222724907,13.6981073044246,12.2069216919034 
 01/01  15:33:00,15.18,12.0608168506084,13.6989996857699,12.2111305933449 
 01/01  15:34:00,15.1733333333333,12.0656221977332,13.6998125210637,12.2153460400793 
 01/01  15:35:00,15.1666666666667,12.0704020733177,13.7006253563576,12.2195586007532 
 01/01  15:36:00,15.16,12.0751929083257,13.701362011395,12.2237638496035 
 01/01  15:37:00,15.1533333333333,12.07999859768,13.7020986664324,12.2279755465826 
 01/01  15:38:00,15.1466666666667,12.0847809290213,13.7027622275176,12.2321845489314 
 01/01  15:39:00,15.14,12.0895737536587,13.7034257886028,12.2363865392084 
 01/01  15:40:00,15.1333333333333,12.0943754260451,13.7040190981576,12.2405949084662 
 01/01  15:41:00,15.1266666666667,12.0991516419344,13.7046124077126,12.2448001852796 
 01/01  15:42:00,15.12,12.1039368254186,13.7051380937952,12.2489978457736 
 01/01  15:43:00,15.1133333333333,12.1087368284787,13.7056637798778,12.2532015941925 
 01/01  15:44:00,15.1066666666667,12.1135114584163,13.7061242808924,12.2574022078951 
 01/01  15:45:00,15.1,12.1182965475288,13.706584781907,12.2615953509009 
 01/01  15:46:00,15.0933333333333,12.1230883596496,13.7069823674736,12.2657943053111 
 01/01  15:47:00,15.0866666666667,12.1278547453457,13.7073799530402,12.2699896024118 
 01/01  15:48:00,15.08,12.1326279281536,13.7077167417609,12.2741766508898 
 01/01  15:49:00,15.0733333333333,12.1374158669878,13.7080535304813,12.2783691159042 
 01/01  15:50:00,15.0666666666667,12.1421763077315,13.7083315051757,12.2825577268546 
 01/01  15:51:00,15.06,12.146947150527,13.7086094798702,12.286738158205 
 01/01  15:52:00,15.0533333333333,12.151722470848,13.7088305007298,12.2909235885235 
 01/01  15:53:00,15.0466666666667,12.1564724193251,13.7090515215892,12.295104583572 
 01/01  15:54:00,15.04,12.1612269012195,13.7092173376008,12.2992765068416 
 01/01  15:55:00,15.0333333333333,12.1659817338775,13.7093831536124,12.3034402994748 
 01/01  15:56:00,15.0266666666667,12.1707430669247,13.7094954125379,12.3076111452341 
 01/01  15:57:00,15.02,12.1754788520322,13.7096076714635,12.3117790228698 
 01/01  15:58:00,15.0133333333333,12.1802174222455,13.709667928601,12.3159382494672 
 01/01  15:59:00,15.0066666666667,12.1849563134734,13.7097281857388,12.3200891204758 
 01/01  16:00:00,15.,12.1897000744167,13.7097379116518,12.3242464689164 
 01/01  16:01:00,14.9883333333333,12.1944183331494,13.7092467115982,12.3283690296 
