Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SURFACE_1:Surface Inside Face Temperature [C](TimeStep),SURFACE_1:Surface Outside Face Temperature [C](TimeStep),ZONE_1:Zone Mean Air Temperature [C](TimeStep) 
 01/01  07:15:00,10.05,11.6033254482568,10.803494961784,11.4709934833375 
 01/01  07:16:00,10.0533333333333,11.600915358504,10.8028115196495,11.4689711480465 
 01/01  07:17:00,10.0566666666667,11.598505704638,10.8021280775151,11.466961052805 
 01/01  07:18:00,10.06,11.5961015504651,10.8015059760656,11.4649626257342 
 01/01  07:19:00,10.0633333333333,11.5936977906014,10.800883874616,11.4629752533364 
 01/01  07:20:00,10.0666666666667,11.5912995021481,10.800318357567,11.4609984381059 
 01/01  07:21:00,10.07,11.5889015714539,10.799752840518,11.4590316360152 
 01/01  07:22:00,10.0733333333333,11.5865090775891,10.7992398846824,11.4570744146876 
 01/01  07:23:00,10.0766666666667,11.5841169093528,10.7987269288468,11.4551262910544 
 01/01  07:24:00,10.08,11.5817301450149,10.7982630804597,11.4531868899768 
 01/01  07:25:00,10.0833333333333,11.5793436780711,10.7977992320727,11.4512557819872 
 01/01  07:26:00,10.0866666666667,11.5769625902114,10.7973814896148,11.4493326424705 
 01/01  07:27:00,10.09,11.5745817749566,10.7969637471569,11.4474170892001 
 01/01  07:28:00,10.0933333333333,11.5722063271756,10.7965894750059,11.445508842375 
 01/01  07:29:00,10.0966666666667,11.5698311302698,10.7962152028548,11.4436075615019 
 01/01  07:30:00,10.1,11.5674613062125,10.7958820661003,11.441713006729 
 01/01  07:31:00,10.1033333333333,11.5650917140261,10.7955489293456,11.4398248745118 
 01/01  07:32:00,10.1066666666667,11.5627275196193,10.7952548435623,11.4379429607865 
 01/01  07:33:00,10.11,11.5603635405159,10.7949607577791,11.4360669947828 
 01/01  07:34:00,10.1133333333333,11.5580050051706,10.7947038496404,11.4341968046465 
 01/01  07:35:00,10.1166666666667,11.555646670746,10.7944469415016,11.4323321487216 
 01/01  07:36:00,10.12,11.5532938476726,10.7942255174156,11.4304728842648 
 01/01  07:37:00,10.1233333333333,11.5509412131006,10.7940040933295,11.428618795508 
 01/01  07:38:00,10.1266666666667,11.5485941788969,10.7938166141264,11.4267697661147 
 01/01  07:39:00,10.13,11.5462473225433,10.7936291349233,11.4249256033458 
